ECG-Lead3ElectricPotential(mV),PulseOximetry,PulmonaryArterialCarbonDioxidePressure(mmHg),HeartRate(1/min),DiastolicArterialPressure(mmHg),SystolicArterialPressure(mmHg),OxygenSaturation,EndTidalCarbonDioxideFraction,RespirationRate(1/min),CoreTemperature(degC),PulmonaryArterialOxygenPressure(mmHg),InspiratoryExpiratoryRatio,MechanicalVentilator-AirwayPressure(cmH2O),MechanicalVentilator-InspiratoryFlow(L/s),MechanicalVentilator-ExpiratoryFlow(L/s),MechanicalVentilator-TotalLungVolume(L),MechanicalVentilator-PeakInspiratoryPressure(cmH2O),MechanicalVentilator-TidalVolume(mL),MechanicalVentilator-TotalPulmonaryVentilation(L/s),MechanicalVentilator-MeanAirwayPressure(cmH2O),MechanicalVentilator-RespirationRate(1/min),MechanicalVentilator-EndTidalCarbonDioxideFraction,MechanicalVentilator-StaticPulmonaryCompliance(L/cmH2O),MechanicalVentilator-DynamicPulmonaryCompliance(L/cmH2O),MechanicalVentilator-InspiratoryExpiratoryRatio,MechanicalVentilator-PlateauPressure(cmH2O)
-0.036826,0.936311,45.604566,132.539711,82.90457,108.583471,0.879225,0.043709,20.0,37.039846,36.029147,1.238806,9.027304,-0.152734,0.152734,0.045618,9.476996,137.727162,0.044783,9.220672,20.0,0.031319,0.291339,0.291339,0.807229,9.476996
-0.011,0.95032,47.644458,64.331549,65.609167,109.490332,0.988841,0.036838,63.829787,37.045996,38.176565,0.516129,1.038055,-0.033611,0.033611,0.080933,15.828533,192.539495,0.160664,6.094256,63.829787,0.038172,0.010208,0.010208,0.566667,15.828533
-0.045,0.969621,45.652219,63.322361,66.834711,111.613688,0.978968,0.04401,18.518519,37.052503,39.315732,1.382353,24.998788,-0.075182,0.075182,0.558395,25.003405,489.51289,0.151084,21.193017,18.518519,0.042604,0.025495,0.025495,4.225806,25.003405
0.063551,0.973091,45.641755,62.063565,66.488757,111.760571,0.975108,0.049521,18.072289,37.060096,39.141209,1.273973,5.630584,-0.22443,0.22443,0.064638,14.628524,353.018955,0.106346,11.309308,18.072289,0.045029,0.039166,0.039166,1.766667,14.628524
0.05876,0.972639,50.199363,60.788646,66.17279,112.197323,0.970799,0.045893,19.10828,37.069256,40.132379,1.242857,11.649691,0.112862,-0.112862,0.089898,11.67247,126.396831,0.040512,11.466609,19.230769,0.032815,0.213939,0.213939,2.058824,11.67247
-0.09,0.973506,56.129057,59.506764,66.004692,112.743231,0.975402,0.023087,21.276596,37.078351,41.73821,1.431034,17.993688,0.063124,-0.063124,0.159838,23.763168,114.839065,0.040844,18.821439,21.276596,0.037649,0.02001,0.02001,0.175,23.763168
0.012814,0.98221,56.417919,50.86244,59.665565,110.531027,0.994069,0.050954,20.27027,37.085753,42.611488,0.741176,13.868297,0.191487,-0.191487,0.244763,13.872371,331.113133,0.111863,8.173721,20.27027,0.045182,0.033362,0.033362,0.761905,13.872371
0.205294,0.979293,55.072754,59.744615,66.092294,113.595678,0.950204,0.051683,19.230769,37.093183,41.695071,0.835294,16.75532,0.205552,-0.205552,0.349245,16.764951,422.72461,0.135489,10.762672,19.230769,0.048364,0.038357,0.038357,0.857143,16.764951
0.017,0.96148,58.933925,72.740194,73.598405,114.321149,0.961409,0.050901,23.622047,37.101621,40.989537,2.25641,5.538666,-0.057089,0.057089,0.071854,9.894065,72.996265,0.243321,8.43369,200.0,0.011111,0.01676,0.01676,14.0,9.894065
-0.026488,0.968587,63.266809,70.461784,72.734353,114.254481,0.979564,0.056474,22.900763,37.110002,43.521916,1.381818,10.244016,-0.315151,0.315151,0.126733,10.22285,4.729932,0.001805,10.200806,22.900763,0.042665,0.0124,0.0124,64.5,10.22285
0.157,0.986027,59.122976,64.693224,72.495271,116.173157,0.99805,0.05226,20.134228,37.116253,44.677094,1.128571,13.811439,0.213758,-0.213758,0.359756,13.825477,454.266841,0.152439,8.140709,20.134228,0.049453,0.037533,0.037533,1.15942,13.825477
0.162,0.993335,62.857499,63.932955,72.216353,115.582867,0.994747,0.055654,22.222222,37.124905,46.734682,1.454545,16.200228,0.487448,-0.487448,0.162247,16.200228,162.247355,0.060256,6.194194,22.222222,0.043771,0.014453,0.014453,0.134454,16.200228
0.206,0.991882,66.870044,70.103839,72.679901,114.785911,0.985929,0.058667,23.076923,37.133166,47.319398,1.54902,17.988002,0.119985,-0.119985,0.183321,20.750664,47.379649,0.018145,18.362359,23.076923,0.045913,0.017223,0.017223,0.160714,20.750664
0.190558,0.984662,67.430286,69.808902,72.958543,115.202536,0.968324,0.05651,22.556391,37.140026,46.034715,1.607843,19.797159,0.226084,-0.226084,0.213045,19.850884,240.641045,0.090467,18.449611,22.556391,0.049595,0.038251,0.038251,3.75,19.850884
-0.018,0.982079,66.797693,69.661506,72.983422,115.172969,0.987436,0.055898,23.4375,37.147127,45.764356,0.347368,28.842044,-0.123619,0.123619,0.182162,28.811958,109.611377,0.042817,27.4558,23.4375,0.039506,0.00505,0.00505,17.285714,28.811958
0.004628,0.976591,68.872753,71.128799,73.401979,115.081513,0.939106,0.057471,23.622047,37.154083,45.726694,1.490196,17.467541,0.058479,-0.058479,0.226179,17.48806,20.1637,0.008001,17.319778,23.809524,0.04344,0.004733,0.004733,125.0,17.48806
-0.006143,0.872445,69.220947,146.667044,84.650318,108.777719,0.688419,0.052497,62.5,37.159622,36.6588,1.666667,1.094912,0.244006,-0.244006,-0.012923,1.169552,-76.798713,-0.086218,1.141266,63.829787,0.011381,0.0,0.0,0.62069,1.169552
-0.0525,0.868302,70.146239,75.337889,74.290836,113.549775,0.956015,0.060824,24.793388,37.165672,38.621422,1.42,10.501098,-0.292588,0.292588,0.136184,10.448408,-114.092108,-0.05433,10.441113,28.571429,0.051664,0.0,0.0,16.5,10.448408
