ECG-Lead3ElectricPotential(mV),PulseOximetry,PulmonaryArterialCarbonDioxidePressure(mmHg),HeartRate(1/min),DiastolicArterialPressure(mmHg),SystolicArterialPressure(mmHg),OxygenSaturation,EndTidalCarbonDioxideFraction,RespirationRate(1/min),CoreTemperature(degC),PulmonaryArterialOxygenPressure(mmHg),InspiratoryExpiratoryRatio,MechanicalVentilator-AirwayPressure(cmH2O),MechanicalVentilator-InspiratoryFlow(L/s),MechanicalVentilator-ExpiratoryFlow(L/s),MechanicalVentilator-TotalLungVolume(L),MechanicalVentilator-PeakInspiratoryPressure(cmH2O),MechanicalVentilator-TidalVolume(mL),MechanicalVentilator-TotalPulmonaryVentilation(L/s),MechanicalVentilator-MeanAirwayPressure(cmH2O),MechanicalVentilator-RespirationRate(1/min),MechanicalVentilator-EndTidalCarbonDioxideFraction,MechanicalVentilator-StaticPulmonaryCompliance(L/cmH2O),MechanicalVentilator-DynamicPulmonaryCompliance(L/cmH2O),MechanicalVentilator-InspiratoryExpiratoryRatio,MechanicalVentilator-PlateauPressure(cmH2O)
0.182294,0.943473,45.67204,90.628322,77.276292,109.747725,0.932887,0.043686,19.607843,37.041352,36.23228,1.25,3.917306,-0.097243,0.097243,0.024721,4.10652,1.183124,0.000447,3.915622,19.607843,0.03031,0.00698,0.00698,0.047945,4.10652
0.043143,0.951711,51.204085,71.839705,74.440666,113.827769,0.963638,0.047087,20.408163,37.050922,38.798249,1.227273,4.790637,0.089376,-0.089376,0.013851,4.792693,136.091999,0.046607,4.677922,20.547945,0.033487,0.59381,0.59381,1.0,4.792693
0.201209,0.960032,56.677602,70.786177,74.098182,115.362542,0.964297,0.046552,25.210084,37.060072,41.045168,1.428571,14.776391,-0.002726,0.002726,-0.034964,16.259447,-34.909281,0.065247,14.530576,28.571429,0.017864,0.046678,0.046678,0.75,16.259447
-0.026488,0.965754,61.477898,70.858273,73.979308,115.182068,0.977599,0.045689,22.556391,37.069081,42.722628,1.557692,17.637812,0.120995,-0.120995,0.142288,25.710588,43.098125,0.018261,19.570214,100.0,0.040237,0.001358,0.001358,0.363636,25.710588
0.056707,0.975004,66.080768,73.925291,74.124375,114.087627,0.985536,0.059201,23.076923,37.077721,44.884087,1.407407,2.952353,0.159195,-0.159195,0.048577,2.966805,-129.804574,-0.05454,2.924953,25.210084,0.046049,0.0,0.0,2.4,2.966805
-0.073,0.986048,64.932155,65.200499,71.175269,115.57489,0.995181,0.054475,20.979021,37.085554,45.750795,1.508772,25.921287,0.242706,-0.242706,0.19932,25.970283,276.69699,0.096747,24.112128,20.979021,0.048907,0.034816,0.034816,3.46875,25.970283
0.161,0.985365,67.711644,72.542223,74.291962,114.989628,0.96464,0.026572,23.255814,37.094083,46.154139,1.529412,3.166333,0.079066,-0.079066,0.16896,14.52059,191.712787,0.074093,4.764075,23.255814,0.04854,0.016861,0.016861,0.172727,14.52059
-0.027366,0.98013,70.128319,73.410766,73.870089,114.487739,0.989557,0.061367,23.4375,37.102374,46.005229,1.461538,9.906572,-0.133087,0.133087,0.007289,10.393184,88.497194,0.034536,10.043778,23.4375,0.04808,0.181036,0.181036,0.422222,10.393184
-0.034351,0.989064,73.867215,82.350966,76.483999,113.465806,0.995859,0.064624,23.809524,37.110484,49.233971,1.377358,2.820047,-0.150751,0.150751,0.012961,2.795094,-195.152125,-0.092053,2.735476,28.301887,0.051751,0.0,0.0,1.038462,2.795094
0.035231,0.975686,71.815612,116.903575,85.506949,117.613907,0.870686,0.055207,18.63354,37.117789,46.12825,1.0125,16.748486,-0.141518,0.141518,0.137013,16.734859,344.65168,0.090698,12.90244,15.789474,0.050945,0.027497,0.027497,2.333333,16.734859
