ECG-Lead3ElectricPotential(mV),PulseOximetry,PulmonaryArterialCarbonDioxidePressure(mmHg),HeartRate(1/min),DiastolicArterialPressure(mmHg),SystolicArterialPressure(mmHg),OxygenSaturation,EndTidalCarbonDioxideFraction,RespirationRate(1/min),CoreTemperature(degC),PulmonaryArterialOxygenPressure(mmHg),InspiratoryExpiratoryRatio,MechanicalVentilator-AirwayPressure(cmH2O),MechanicalVentilator-InspiratoryFlow(L/s),MechanicalVentilator-ExpiratoryFlow(L/s),MechanicalVentilator-TotalLungVolume(L),MechanicalVentilator-PeakInspiratoryPressure(cmH2O),MechanicalVentilator-TidalVolume(mL),MechanicalVentilator-TotalPulmonaryVentilation(L/s),MechanicalVentilator-MeanAirwayPressure(cmH2O),MechanicalVentilator-RespirationRate(1/min),MechanicalVentilator-EndTidalCarbonDioxideFraction,MechanicalVentilator-StaticPulmonaryCompliance(L/cmH2O),MechanicalVentilator-DynamicPulmonaryCompliance(L/cmH2O),MechanicalVentilator-InspiratoryExpiratoryRatio,MechanicalVentilator-PlateauPressure(cmH2O)
-0.032,0.940452,45.771693,122.18899,82.431298,109.005772,0.893868,0.044525,18.63354,37.05358,35.887882,1.236111,14.864374,0.141875,-0.141875,0.084478,14.890883,54.417342,0.017221,14.756055,18.987342,0.03323,0.072523,0.072523,5.32,14.890883
-0.061429,0.940272,50.751134,72.745591,74.197137,114.088451,0.9593,0.045924,20.0,37.063369,37.48168,1.272727,19.774985,0.15309,-0.15309,0.107334,19.785318,-127.611888,-0.062555,19.673787,29.411765,0.034452,-0.072657,-0.072657,16.0,19.785318
-0.032,0.948997,56.843123,71.935559,73.365183,114.15505,0.946647,0.051733,21.428571,37.073234,39.756498,1.372881,11.353233,0.079242,-0.079242,0.004054,11.344588,50.89462,0.018307,10.903915,21.582734,0.040109,0.093751,0.093751,0.252252,11.344588
-0.032,0.937628,61.146296,82.115158,76.357721,113.400734,0.921213,0.054993,23.255814,37.082487,39.680372,1.529412,5.997023,-0.12408,0.12408,0.223707,7.440193,169.305565,-0.170928,7.323418,53.571429,0.044213,-0.134056,-0.134056,10.2,7.440193
-0.02364,0.915019,62.719873,123.962838,82.360474,108.678161,0.874223,0.054278,26.086957,37.090624,38.75115,1.5,1.372754,0.133724,-0.133724,0.236299,1.452432,-8.851812,-0.003621,1.392414,26.086957,0.043826,-0.172473,-0.172473,0.105769,1.452432
-0.048286,0.900042,63.106695,107.226232,80.970032,110.594669,0.898532,0.054792,25.210084,37.098434,38.187228,1.428571,4.758579,-0.258176,0.258176,0.030718,4.959358,205.015326,0.086634,4.852034,25.210084,0.045061,0.988037,0.988037,0.95082,4.959358
0.017,0.920387,65.043435,73.142001,75.371513,114.058316,0.958169,0.058004,22.556391,37.107324,40.181938,1.333333,1.926307,0.160138,-0.160138,0.178038,2.040094,-3.112594,-0.00117,1.946934,22.556391,0.046377,-0.034903,-0.034903,0.055556,2.040094
0.059651,0.952844,68.549852,70.743547,72.402126,113.766695,0.991386,0.06093,22.222222,37.116675,43.749156,1.410714,8.97433,-0.380087,0.380087,0.131564,9.389366,37.411748,0.013805,9.01645,22.222222,0.048364,0.084045,0.084045,0.216216,9.389366
0.016,0.97365,72.192327,77.987405,74.548667,113.999842,0.979088,0.063344,22.556391,37.125767,46.550274,1.375,11.663669,0.135394,-0.135394,0.012839,11.654515,141.790688,0.053305,11.295297,22.556391,0.051589,0.258009,0.258009,0.546512,11.654515
-0.0265,0.97523,74.736363,84.532354,76.998086,113.030808,0.978974,0.065103,22.900763,37.134305,46.867101,1.339286,4.749448,-0.039494,0.039494,-0.006066,4.790076,16.491879,0.006295,4.762351,22.900763,0.052981,0.069369,0.069369,20.833333,4.790076
0.55393,0.979179,69.895335,70.531048,72.75588,114.500359,0.982431,0.054551,20.547945,37.141716,45.584405,1.517241,23.008755,0.027383,-0.027383,0.438282,23.022843,429.384359,0.147049,19.80475,20.547945,0.051195,0.044961,0.044961,2.041667,23.022843
