ECG-Lead3ElectricPotential(mV),PulseOximetry,PulmonaryArterialCarbonDioxidePressure(mmHg),HeartRate(1/min),DiastolicArterialPressure(mmHg),SystolicArterialPressure(mmHg),OxygenSaturation,EndTidalCarbonDioxideFraction,RespirationRate(1/min),CoreTemperature(degC),PulmonaryArterialOxygenPressure(mmHg),InspiratoryExpiratoryRatio,MechanicalVentilator-AirwayPressure(cmH2O),MechanicalVentilator-InspiratoryFlow(L/s),MechanicalVentilator-ExpiratoryFlow(L/s),MechanicalVentilator-TotalLungVolume(L),MechanicalVentilator-PeakInspiratoryPressure(cmH2O),MechanicalVentilator-TidalVolume(mL),MechanicalVentilator-TotalPulmonaryVentilation(L/s),MechanicalVentilator-MeanAirwayPressure(cmH2O),MechanicalVentilator-RespirationRate(1/min),MechanicalVentilator-EndTidalCarbonDioxideFraction,MechanicalVentilator-StaticPulmonaryCompliance(L/cmH2O),MechanicalVentilator-DynamicPulmonaryCompliance(L/cmH2O),MechanicalVentilator-InspiratoryExpiratoryRatio,MechanicalVentilator-PlateauPressure(cmH2O)
-0.042783,0.932663,45.69591,130.487373,83.139371,108.730413,0.890688,0.044185,20.27027,37.0425,35.282811,1.242424,1.758191,0.047093,-0.047093,0.002099,1.786981,79.046041,0.026886,1.741041,20.408163,0.031481,0.728747,0.728747,3.083333,1.786981
0.203,0.950598,47.95805,63.284774,66.40568,111.247562,0.97758,0.047196,19.736842,37.051615,37.889175,1.111111,21.001323,0.140319,-0.140319,0.17864,21.008975,232.353429,0.076432,19.587027,19.736842,0.038661,0.077374,0.077374,1.140845,21.008975
-0.059526,0.976013,48.412396,53.047253,60.715351,110.740346,0.997561,0.050421,18.292683,37.059696,40.120451,1.342857,26.760686,0.208746,-0.208746,0.31747,26.794682,401.464009,0.122398,23.567577,18.292683,0.047197,0.038844,0.038844,2.28,26.794682
-0.026828,0.990289,54.136585,52.197142,60.000377,111.73021,0.99409,0.049061,19.480519,37.069674,42.945853,1.2,15.596175,-0.20421,0.20421,0.092569,15.596175,92.569497,-0.015264,15.538261,25.210084,0.034793,-0.048369,-0.048369,22.8,15.596175
-0.040405,0.979017,58.138078,81.491014,77.889167,118.926322,0.9201,0.050874,21.428571,37.078257,42.082722,0.157025,21.140797,0.754865,-0.754865,0.197067,21.157863,278.4608,0.09945,6.569617,21.428571,0.044159,0.01663,0.01663,0.157025,21.157863
-0.032,0.969242,57.325446,55.266996,60.393172,109.950113,0.983413,0.056006,10.273973,37.086831,40.851978,0.431373,28.131025,0.142452,-0.142452,0.462426,28.150473,341.356605,0.058451,23.1074,10.273973,0.052559,0.03365,0.03365,1.027778,28.150473
0.102655,0.975325,62.168009,54.583604,60.135771,110.34321,0.971436,0.055784,22.38806,37.096131,43.061246,1.392857,9.510429,-0.051305,0.051305,0.18615,9.990067,34.612639,0.012648,9.591164,22.38806,0.04261,0.071132,0.071132,0.218182,9.990067
-0.022622,0.959226,59.157054,82.947325,75.809618,115.095735,0.924612,0.052176,21.582734,37.103054,40.756057,1.574074,16.553599,-0.140427,0.140427,0.421419,16.553599,421.419496,0.151573,13.218481,21.582734,0.048872,0.040176,0.040176,2.232558,16.553599
0.161,0.941835,61.867857,72.635688,74.037277,114.038782,0.950188,0.053905,26.785714,37.11163,40.307936,1.24,17.445447,-0.263222,0.263222,0.144569,21.075824,98.500296,-0.140183,20.418512,71.428571,0.0389,-0.032375,-0.032375,5.0,21.075824
0.017,0.940221,65.735043,85.55141,76.680727,113.90405,0.910751,0.057333,24.390244,37.119908,41.400966,1.46,4.010962,0.186221,-0.186221,0.214657,4.226463,10.787608,0.004885,4.057036,24.390244,0.046718,0.065944,0.065944,0.160377,4.226463
0.036628,0.942026,66.692101,71.238078,73.501213,114.754069,0.959926,0.05817,23.4375,37.127951,41.9192,1.461538,14.694864,0.183428,-0.183428,0.171939,15.468714,37.382531,0.014613,14.852355,23.4375,0.046612,0.050409,0.050409,0.230769,15.468714
-0.04078,0.94852,55.49077,73.804322,73.794548,114.592742,0.948026,0.044305,21.582734,37.132719,39.728324,0.7375,10.648965,-0.165072,0.165072,0.021561,29.076475,662.757212,0.238307,18.472726,21.582734,0.043442,0.035942,0.035942,0.759494,29.076475
0.135302,0.952839,58.117718,69.870783,74.110967,115.410567,0.968019,0.051881,21.89781,37.141248,40.765413,1.490909,17.989152,0.108482,-0.108482,0.155257,22.306117,94.184947,0.03429,18.663905,21.89781,0.039945,0.021864,0.021864,0.191304,22.306117
-0.008636,0.967884,64.452071,69.627857,72.971782,115.19338,0.988652,0.057404,22.38806,37.149808,43.953715,1.392857,13.022715,-0.329693,0.329693,0.090214,13.664017,155.863382,0.075431,13.480944,24.0,0.036925,0.284609,0.284609,2.676471,13.664017
0.14793,0.971955,63.38889,70.22165,72.962994,115.194037,0.957809,0.033962,111.111111,37.156035,43.74279,1.25,8.262169,-0.115199,0.115199,-0.012004,29.764304,206.296062,0.482006,20.212854,111.111111,0.018459,0.012137,0.012137,1.454545,29.764304
-0.058512,0.97034,65.400649,70.915816,74.053178,115.397739,0.982965,0.057707,22.222222,37.163689,43.79014,1.54717,6.072826,0.198676,-0.198676,0.144655,6.116709,149.944068,0.055535,5.244274,22.222222,0.048255,0.032676,0.032676,4.625,6.116709
0.088814,0.973814,68.371593,71.043404,73.250644,114.901232,0.961453,0.027633,23.255814,37.171871,45.158634,1.58,18.01704,-0.170405,0.170405,0.216077,28.662763,132.218923,0.051173,19.079997,23.255814,0.048596,0.012397,0.012397,0.121739,28.662763
-0.033571,0.973444,70.931556,71.727657,73.027784,114.337453,0.987133,0.061389,23.255814,37.179363,45.743254,1.433962,18.967798,0.17773,-0.17773,0.033475,19.012941,84.735707,0.032591,18.834068,23.076923,0.049421,0.084981,0.084981,5.842105,19.012941
0.065368,0.986584,74.540842,79.415738,75.087623,114.115381,0.996923,0.064507,23.622047,37.186751,49.239749,1.396226,11.501849,-0.064713,0.064713,0.205852,12.087018,10.474631,-0.024745,12.082912,20.0,0.051079,-0.131057,-0.131057,36.5,12.087018
0.058353,0.99343,77.229697,90.696773,77.581898,112.34581,0.995348,0.066683,23.809524,37.193581,51.888522,1.423077,7.523961,0.19085,-0.19085,0.167253,7.815376,159.439988,0.063158,7.603687,23.809524,0.053682,0.445541,0.445541,0.702703,7.815376
-0.043828,0.99277,78.926058,104.387099,79.897831,111.126159,0.988778,0.062328,24.0,37.200097,52.042036,1.717391,9.960882,0.219575,-0.219575,0.111348,15.693674,24.630534,0.009854,10.26278,24.0,0.055674,0.004325,0.004325,0.059322,15.693674
-0.067,0.992898,79.891695,102.901202,79.944569,111.162271,0.995824,0.068106,24.0,37.206383,52.442223,1.45098,15.211417,0.228977,-0.228977,0.068207,16.028114,-4.541825,-0.001817,15.292043,24.0,0.055534,-0.00584,-0.00584,0.086957,16.028114
0.062,0.994452,81.069784,107.998788,80.604874,110.907464,0.99434,0.068834,24.0,37.212249,53.705808,1.45098,13.927779,0.217261,-0.217261,0.077291,14.662106,37.570922,0.015019,14.08387,24.0,0.056374,0.053844,0.053844,0.237624,14.662106
-0.09,0.990534,80.960308,94.926929,78.603675,111.220104,0.975968,0.067694,24.0,37.217978,51.617793,1.55102,4.88767,0.250093,-0.250093,0.145839,4.908531,283.806112,0.113522,4.088042,24.0,0.057797,0.133279,0.133279,1.659574,4.908531
0.161,0.977111,81.371039,108.544549,80.717226,110.541797,0.953491,0.067913,25.210084,37.223638,49.372766,1.479167,1.228429,-0.282511,0.282511,0.04404,1.557384,48.909748,0.009535,1.426209,12.605042,0.056794,0.132773,0.132773,1.505263,1.557384
0.17165,0.976964,77.177626,75.888659,73.914634,115.216079,0.982303,0.062406,23.076923,37.229992,47.766576,1.321429,18.627855,0.201331,-0.201331,0.149046,18.660537,0.804981,0.00031,18.647957,23.076923,0.048528,0.0,0.0,0.0,18.660537
0.668,0.969154,74.995332,66.282293,68.198259,113.308095,0.934013,0.058412,28.571429,37.235251,46.053938,0.544118,22.984825,0.322545,-0.322545,0.363,23.017494,194.178563,0.088263,15.132105,27.272727,0.05156,0.012309,0.012309,1.037037,23.017494
-0.071686,0.965649,76.009604,86.327498,76.630459,113.366344,0.984636,0.065489,23.809524,37.240946,46.577579,1.377358,8.281664,-0.072456,0.072456,-0.003872,8.315426,114.849299,0.055752,8.291982,29.126214,0.001133,0.288522,0.288522,16.166667,8.315426
0.205545,0.982241,77.0862,68.597017,73.459541,115.882657,0.994967,0.064123,23.255814,37.24656,49.163963,1.263158,11.081841,0.212753,-0.212753,0.033298,11.0928,296.252361,0.114826,9.464779,23.255814,0.055458,0.080353,0.080353,1.303571,11.0928
-0.0278,0.983924,79.325173,101.419566,79.060745,111.151769,0.96831,0.067782,24.193548,37.25173,50.731273,1.431373,10.698932,-0.428432,0.428432,-0.025829,10.630557,-91.189177,-0.04183,10.624817,27.522936,0.056947,0.0,0.0,17.166667,10.630557
-0.078348,0.980849,78.435215,66.502673,67.642678,111.695159,0.986857,0.051342,28.846154,37.256574,48.928849,0.444444,9.423536,-0.034021,0.034021,0.110901,25.006585,246.611557,0.118302,14.334229,28.571429,0.060703,0.015986,0.015986,0.478873,25.006585
0.091,0.979131,78.056753,83.959256,76.339101,114.388151,0.964632,0.063897,24.0,37.26176,48.89763,0.893939,28.544235,-0.140456,0.140456,-0.188854,28.522702,88.270844,0.032453,27.910419,22.058824,0.012166,0.008509,0.008509,18.428571,28.522702
0.009607,0.991181,67.728742,54.14522,62.164473,112.800552,0.999153,0.051695,20.979021,37.264544,47.508948,0.722892,7.751299,-0.406564,0.406564,0.327971,24.191696,586.519302,0.205696,14.635229,20.979021,0.050349,0.035713,0.035713,0.743902,24.191696
-0.02336,0.997292,71.164235,60.770956,66.227792,114.28701,0.998774,0.061817,23.076923,37.270572,50.715209,1.407407,10.4184,0.204834,-0.204834,0.087059,10.461142,190.95968,0.073446,10.286311,23.076923,0.049069,0.358465,0.358465,2.513514,10.461142
-0.032,0.997706,75.597788,77.809075,74.368121,114.701582,0.996324,0.064515,23.622047,37.27588,52.515007,1.702128,17.984315,0.156847,-0.156847,0.200912,23.430482,57.064563,0.022453,18.516098,23.622047,0.052423,0.010531,0.010531,0.114035,23.430482
0.1975,0.994028,79.140364,109.653481,80.898316,110.544071,0.977099,0.068524,24.193548,37.27971,52.113383,1.431373,1.217403,0.194626,-0.194626,0.181165,1.24383,-3.866117,-0.000779,1.206438,12.096774,0.055287,-0.068465,-0.068465,1.049587,1.24383
0.201918,0.989518,76.469794,61.599684,64.754557,111.636393,0.987337,0.061355,22.727273,37.283839,49.056664,1.64,23.088384,0.113335,-0.113335,0.334944,23.103575,342.432051,0.129709,21.283909,22.727273,0.054826,0.067322,0.067322,1.869565,23.103575
-0.029286,0.986393,79.098051,109.844343,80.860667,110.590878,0.981344,0.068538,24.193548,37.287361,50.774489,1.431373,1.833146,0.225414,-0.225414,0.074137,1.834527,159.668745,0.064383,1.801063,24.193548,0.055249,2.705002,2.705002,0.722222,1.834527
0.001182,0.934431,74.504116,139.478867,82.749196,108.750859,0.751242,0.051773,35.294118,37.289527,43.003335,1.361111,8.437004,-0.729517,0.729517,0.076139,18.033482,305.896733,0.189258,13.956162,35.294118,0.043826,0.033471,0.033471,1.428571,18.033482
0.027333,0.777577,74.495273,173.962604,85.729543,108.195725,0.60514,0.0,0.0,37.292751,32.28011,0.0,7.359124,0.200157,-0.200157,-0.005043,9.834557,-52.19587,-0.060693,8.297858,69.767442,0.013338,-0.021873,-0.021873,0.653846,9.834557
-0.032,0.760618,76.535291,159.789508,83.372688,106.048308,0.85977,0.063906,44.117647,37.294624,34.627525,1.344828,12.501827,0.038009,-0.038009,0.143164,12.50476,2.158003,0.000946,12.267057,26.315789,0.046556,0.000565,0.000565,18.0,12.50476
-0.021882,0.855618,78.613334,89.492193,77.804807,112.436811,0.963865,0.007617,24.590164,37.297251,42.46664,1.652174,17.657314,-0.225316,0.225316,0.270766,25.529612,229.6728,0.095006,19.586461,24.590164,0.057959,0.029445,0.029445,0.340659,25.529612
-0.033,0.923739,70.930235,68.970707,71.972485,115.001881,0.98702,0.053137,20.833333,37.298998,44.64866,1.571429,29.077759,0.362617,-0.362617,0.319895,29.13088,514.990374,0.178816,24.911888,20.833333,0.051284,0.035768,0.035768,2.512195,29.13088
0.024243,0.954321,74.34795,82.914948,76.199247,113.846705,0.967931,0.064714,23.809524,37.302604,47.029713,1.423077,2.581193,-0.455638,0.455638,0.141394,2.674062,228.103882,0.091482,2.622009,24.0,0.051822,1.812219,1.812219,1.906977,2.674062
0.0803,0.958409,75.886541,76.326513,74.360879,114.644986,0.958964,0.064053,24.193548,37.305885,46.537986,1.638298,18.014378,-0.143781,0.143781,0.256009,21.157536,157.643076,0.063464,18.925604,24.193548,0.053697,0.050135,0.050135,0.425287,21.157536
0.202,0.970125,78.483845,102.794071,79.782835,111.815079,0.990831,0.068227,24.0,37.308127,49.149499,1.403846,3.824241,-0.406147,0.406147,-0.008123,3.973293,-69.818392,-0.029335,3.832005,25.210084,0.026371,-0.474777,-0.474777,0.352273,3.973293
-0.05,0.987679,81.09542,112.915804,80.8881,110.845087,0.996992,0.069792,24.193548,37.310029,53.205448,1.431373,4.525644,-0.242206,0.242206,0.039844,4.714504,89.239258,0.035934,4.568294,24.193548,0.056557,0.447152,0.447152,0.409091,4.714504
0.029889,0.991752,82.181488,114.120848,81.57655,110.953523,0.988634,0.069819,24.193548,37.31173,53.996007,1.48,12.068241,-0.164237,0.164237,4.9e-05,12.667427,24.116752,0.009724,12.154122,24.193548,0.057224,0.040249,0.040249,0.203883,12.667427
-0.018,0.982401,78.376085,60.721192,64.135158,111.206083,0.955535,0.060357,23.255814,37.313346,48.640933,0.897059,1.530482,-0.2543,0.2543,0.32943,10.221695,394.67147,0.152601,5.635068,23.255814,0.055554,0.045215,0.045215,0.925373,10.221695
-0.067,0.966912,78.445911,85.094876,75.360735,113.185367,0.958634,0.066372,25.0,37.315415,47.219231,1.4,8.196383,-0.213061,0.213061,0.250914,8.185652,4.147398,0.000843,7.974028,12.195122,0.0549,0.010291,0.010291,1.05,8.185652
-0.029286,0.966426,79.149779,85.810035,76.913423,113.181433,0.969602,0.066458,22.900763,37.317153,48.106599,1.147541,16.8207,-0.351593,0.351593,0.126794,16.785176,38.144839,0.014449,16.459222,22.727273,0.057237,0.007172,0.007172,17.857143,16.785176
-0.0032,0.965241,80.498461,101.471279,80.550298,112.192492,0.959425,0.068336,24.590164,37.31808,48.792606,1.44,3.737677,0.24553,-0.24553,0.066257,3.786087,32.064128,0.013141,3.74835,24.590164,0.056253,0.164824,0.164824,14.25,3.786087
0.069345,0.963069,81.042429,104.878261,79.926103,111.515916,0.963358,0.068734,24.590164,37.319009,48.665921,1.44,4.212887,-0.413371,0.413371,0.099489,4.369285,202.403352,0.082947,4.274129,24.590164,0.056603,1.113489,1.113489,0.90625,4.369285
-0.009667,0.968624,81.712413,113.781259,81.207351,110.592724,0.978752,0.069753,24.390244,37.319629,50.031027,1.46,8.151986,0.241353,-0.241353,0.066522,8.151075,152.83586,0.062128,7.923527,24.390244,0.057131,0.415749,0.415749,0.64,8.151075
0.668,0.96473,82.822054,114.921534,81.492905,110.320036,0.934474,0.068018,28.301887,37.319897,49.635464,1.585366,1.590929,0.211145,-0.211145,0.179227,1.646911,49.433898,0.023318,1.604992,28.301887,0.052684,0.538103,0.538103,12.25,1.646911
0.073529,0.903864,81.784,184.9,85.75204,107.983222,0.786235,0.061365,62.5,37.31939,42.785047,1.666667,8.11289,0.250757,-0.250757,-0.007647,8.117444,-56.429827,-0.0297,8.043713,31.578947,0.011435,-0.176663,-0.176663,3.52381,8.117444
