ECG-Lead3ElectricPotential(mV),PulseOximetry,PulmonaryArterialCarbonDioxidePressure(mmHg),HeartRate(1/min),DiastolicArterialPressure(mmHg),SystolicArterialPressure(mmHg),OxygenSaturation,EndTidalCarbonDioxideFraction,RespirationRate(1/min),CoreTemperature(degC),PulmonaryArterialOxygenPressure(mmHg),InspiratoryExpiratoryRatio,MechanicalVentilator-AirwayPressure(cmH2O),MechanicalVentilator-InspiratoryFlow(L/s),MechanicalVentilator-ExpiratoryFlow(L/s),MechanicalVentilator-TotalLungVolume(L),MechanicalVentilator-PeakInspiratoryPressure(cmH2O),MechanicalVentilator-TidalVolume(mL),MechanicalVentilator-TotalPulmonaryVentilation(L/s),MechanicalVentilator-MeanAirwayPressure(cmH2O),MechanicalVentilator-RespirationRate(1/min),MechanicalVentilator-EndTidalCarbonDioxideFraction,MechanicalVentilator-StaticPulmonaryCompliance(L/cmH2O),MechanicalVentilator-DynamicPulmonaryCompliance(L/cmH2O),MechanicalVentilator-InspiratoryExpiratoryRatio,MechanicalVentilator-PlateauPressure(cmH2O)
0.204189,0.951556,45.598831,81.847994,75.788153,111.792235,0.942668,0.043176,18.75,37.044465,37.438206,1.191781,10.938456,0.111879,-0.111879,0.03091,10.958454,130.502231,0.052201,10.846806,24.0,0.020025,0.241961,0.241961,4.681818,10.958454
-0.09,0.955112,50.946426,72.689065,74.451674,114.670935,0.962883,0.046655,20.27027,37.053124,39.523605,1.208955,6.701951,0.060266,-0.060266,-0.002092,7.062566,-6.819438,-0.002168,6.729511,20.408163,0.031406,-0.018319,-0.018319,0.072993,7.062566
-0.039143,0.963054,56.931015,71.733527,73.770867,114.345206,0.977545,0.051956,21.73913,37.061534,41.8822,1.3,5.128791,0.143668,-0.143668,0.103412,5.132188,141.160789,0.051145,5.003399,21.73913,0.03841,0.587374,0.587374,0.864865,5.132188
0.213953,0.972199,60.547768,70.529603,72.633572,114.242441,0.971924,0.053301,21.89781,37.069613,43.877561,1.322034,19.941397,-0.20103,0.20103,0.052248,19.930522,3.138732,0.001154,19.899987,22.058824,0.039835,0.0,0.0,0.0,19.930522
-0.018,0.982476,60.791545,65.771123,72.228048,115.369784,0.997258,0.052766,20.408163,37.07632,44.99074,0.860759,11.562562,0.12587,-0.12587,0.323303,11.563953,333.036539,0.113278,7.366793,20.408163,0.047167,0.042616,0.042616,0.884615,11.563953
0.006,0.992693,59.314456,63.777748,71.260231,115.597715,0.996613,0.049069,25.641026,37.082902,46.193584,3.034483,20.59844,0.077197,-0.077197,0.169213,20.600629,436.962452,0.186736,17.038762,25.641026,0.042977,0.030505,0.030505,3.178571,20.600629
-0.050091,0.990339,59.308906,69.757131,72.984732,115.067996,0.973231,0.052162,19.354839,37.089888,45.330075,0.324786,18.007084,-0.070845,0.070845,0.010287,29.70904,355.633609,0.11469,20.878173,19.354839,0.04736,0.030377,0.030377,0.336207,29.70904
0.004628,0.981204,63.555747,70.525527,72.633528,114.149108,0.981517,0.056533,22.727273,37.097641,44.881259,1.357143,10.253936,-0.07531,0.07531,0.185374,10.255836,-0.012063,-5e-06,10.246405,22.727273,0.043174,0.0,0.0,0.0,10.255836
0.062,0.982818,67.531529,72.041968,73.071326,114.023017,0.981638,0.058996,22.900763,37.105189,46.78895,1.425926,12.279201,0.14807,-0.14807,0.011184,12.301294,153.342179,0.069073,12.085859,27.027027,0.005758,0.048879,0.048879,17.5,12.301294
-0.021558,0.985357,57.315497,70.216117,73.154753,115.078997,0.988946,0.04428,20.408163,37.109539,44.281828,1.578947,29.922541,0.452105,-0.452105,0.4571,29.986277,627.347083,0.213383,24.824898,20.408163,0.04349,0.024935,0.024935,4.068966,29.986277
0.131186,0.986141,55.142889,69.975522,73.071997,115.091815,0.985289,0.05122,18.987342,37.116046,43.779505,0.504762,18.022335,-0.223353,0.223353,0.115899,27.467971,359.800358,0.114005,21.18254,18.987342,0.046586,0.038069,0.038069,0.519231,27.467971
0.042,0.991983,47.754642,64.782939,71.33332,115.577503,0.997605,0.036872,46.153846,37.118297,42.428439,0.756757,29.167306,0.961287,-0.961287,0.277972,29.224433,468.378747,0.360291,14.356095,46.153846,0.035401,0.017928,0.017928,0.805556,29.224433
0.001739,0.994526,53.363184,65.733012,72.210208,115.359913,0.994173,0.048232,18.867925,37.126314,44.485398,1.178082,2.474963,0.100083,-0.100083,0.034802,2.484193,122.016663,0.038859,2.428762,19.10828,0.032569,1.005814,1.005814,1.242857,2.484193
-0.010318,0.989194,56.132031,69.612891,73.035973,115.329175,0.971237,0.047968,27.522936,37.133229,44.022971,1.945946,29.881062,0.150101,-0.150101,0.167598,29.913555,209.206321,0.096855,28.327498,27.777778,0.034744,0.008842,0.008842,17.0,29.913555
-0.010419,0.974898,61.266635,70.294984,72.981275,115.213999,0.955916,0.054498,22.900763,37.140624,43.474323,1.339286,17.106402,-0.262738,0.262738,-0.044029,17.122169,162.039126,0.07866,17.031653,29.126214,0.016909,0.195484,0.195484,16.166667,17.122169
-0.032,0.974442,65.058625,69.779527,72.555111,114.60905,0.987062,0.056899,22.727273,37.147741,45.002009,1.2,18.803879,-0.340217,0.340217,-0.005581,18.751377,-72.496121,-0.033255,18.712196,27.522936,0.044693,0.0,0.0,17.166667,18.751377
