ECG-Lead3ElectricPotential(mV),PulseOximetry,PulmonaryArterialCarbonDioxidePressure(mmHg),HeartRate(1/min),DiastolicArterialPressure(mmHg),SystolicArterialPressure(mmHg),OxygenSaturation,EndTidalCarbonDioxideFraction,RespirationRate(1/min),CoreTemperature(degC),PulmonaryArterialOxygenPressure(mmHg),InspiratoryExpiratoryRatio,MechanicalVentilator-AirwayPressure(cmH2O),MechanicalVentilator-InspiratoryFlow(L/s),MechanicalVentilator-ExpiratoryFlow(L/s),MechanicalVentilator-TotalLungVolume(L),MechanicalVentilator-PeakInspiratoryPressure(cmH2O),MechanicalVentilator-TidalVolume(mL),MechanicalVentilator-TotalPulmonaryVentilation(L/s),MechanicalVentilator-MeanAirwayPressure(cmH2O),MechanicalVentilator-RespirationRate(1/min),MechanicalVentilator-EndTidalCarbonDioxideFraction,MechanicalVentilator-StaticPulmonaryCompliance(L/cmH2O),MechanicalVentilator-DynamicPulmonaryCompliance(L/cmH2O),MechanicalVentilator-InspiratoryExpiratoryRatio,MechanicalVentilator-PlateauPressure(cmH2O)
0.157,0.945946,45.814004,84.268167,76.241418,111.111411,0.938998,0.044173,18.867925,37.052257,36.197983,1.208333,8.605655,0.076514,-0.076514,0.128478,9.053831,66.692718,0.020883,8.718771,18.867925,0.031576,0.151786,0.151786,0.31405,9.053831
-0.048286,0.954449,52.023521,72.022214,73.682842,114.24607,0.968779,0.047719,19.736842,37.062281,38.93661,1.268657,8.157621,-0.068179,0.068179,0.011243,8.567046,106.555954,0.034718,8.294742,19.736842,0.034723,0.255935,0.255935,0.52,8.567046
-0.010419,0.963663,57.505598,70.40985,74.106202,115.281796,0.965685,0.052004,20.979021,37.072012,41.218253,1.423729,17.33862,0.044902,-0.044902,0.058285,20.916066,51.392924,0.018233,17.684823,21.126761,0.039983,0.014467,0.014467,0.11811,20.916066
0.088814,0.9618,61.850268,70.402502,73.908698,115.102488,0.959125,0.054993,22.222222,37.081162,41.822524,1.368421,14.778452,-0.025328,0.025328,-0.005376,14.89717,95.606409,0.03541,14.73668,22.222222,0.044251,0.125923,0.125923,4.869565,14.89717
-0.026488,0.968739,63.467261,70.472,74.091881,115.287333,0.982371,0.051286,21.582734,37.09001,43.033308,1.527273,24.539759,-0.11954,0.11954,-0.026385,28.12739,198.933941,0.086493,27.242638,26.086957,0.013954,0.013997,0.013997,18.166667,28.12739
0.149293,0.976251,67.546113,73.947353,74.047596,114.242844,0.98142,0.060197,22.38806,37.098981,44.896775,1.350877,5.272668,0.009268,-0.009268,0.21395,5.27579,212.55531,0.079312,5.173238,22.38806,0.047749,0.827043,0.827043,1.68,5.27579
-0.039,0.986033,68.023633,64.461959,72.058884,115.312662,0.996726,0.058351,21.428571,37.107622,46.051063,0.284404,18.030388,-0.195482,0.195482,0.257485,29.059199,297.023864,0.106054,20.37848,21.428571,0.050952,0.026874,0.026874,0.284404,29.059199
-0.021615,0.991021,71.676026,76.971872,74.533759,114.195233,0.98726,0.063218,22.727273,37.116521,48.115585,1.237288,9.408244,0.12249,-0.12249,0.144542,10.498307,139.128245,0.102321,9.969142,26.086957,0.043855,0.165164,0.165164,1.738095,10.498307
0.205579,0.983556,74.117603,80.567509,75.631182,113.408621,0.966995,0.064069,23.255814,37.124818,47.316583,1.433962,8.556158,0.218701,-0.218701,0.151223,9.00494,97.956549,0.038562,8.703806,23.255814,0.052462,0.240501,0.240501,0.402174,9.00494
-0.083625,0.960086,74.869705,95.139859,79.075056,113.083262,0.897722,0.060441,28.846154,37.132744,44.519952,1.6,4.624286,-0.006719,0.006719,-0.055357,4.670318,-103.46173,-0.043471,4.616436,25.210084,0.039156,-0.434866,-0.434866,18.833333,4.670318
0.025316,0.944847,74.931633,80.329335,75.346651,113.460379,0.95642,0.061792,23.4375,37.140447,43.468371,1.461538,5.560641,-0.197136,0.197136,-0.082453,5.520453,-33.624898,-0.013895,3.725989,24.793388,0.016118,-0.012082,-0.012082,0.592105,5.520453
-0.09,0.967309,70.456081,65.886024,72.678854,115.586129,0.993419,0.055706,20.689655,37.147501,45.15503,0.45,8.567657,-0.170291,0.170291,0.042795,21.426435,424.173402,0.146316,12.555665,20.689655,0.052138,0.032972,0.032972,0.464646,21.426435
